name,hebrewName,imageUrl,copies,gameTime,company,minPlayer,maxPlayer
Cobra Twist,קוברה טוויסט,https://mindx.co.il/wp-content/uploads/2020/07/%D7%A7%D7%95%D7%91%D7%A8%D7%94-%D7%98%D7%95%D7%95%D7%99%D7%A1%D7%98-%D7%99%D7%9E%D7%99%D7%A0%D7%94.jpg,1,,,,
The floating dragon market,שוק הדקונים הצף,https://www.siman-kria.co.il/warehouse/dynamic/331051.webp,1,,,,
The Crew: The Quest for Planet Nine ,הצוות – המסע לכוכב הלכת תשע,https://www.hakubia.com/wp-content/uploads/2021/04/The-Crew-L.png,1,20,,3,5
the magic labyrinth,קסם המבוך,https://www.hakubia.com/wp-content/uploads/2021/01/624-2-1.webp,1,30,,2,4
 Zaberias,שבטי זבריוס,https://www.hakubia.com/wp-content/uploads/2021/01/627-2-1.webp,1,,,,
Block out,"בלוק אאוט
",https://www.hakubia.com/wp-content/uploads/2021/01/489-2-1.webp,1,30,,2,6
Through the Ages: A New Story of Civilization,דרך העידנים,https://www.hakubia.com/wp-content/uploads/2021/05/%D7%90%D7%A8%D7%99%D7%96%D7%94-1.png,1,120,,1,4
One Night WereWolf,איש זאב ללילה אחד,https://www.hakubia.com/wp-content/uploads/2021/05/Werewolf-L.jpg,1,10,,3,10
Sabator,סאבטור,https://www.hakubia.com/wp-content/uploads/2021/01/577-2-1.webp,1,30,,3,10
Code Names,שם קוד,https://cf.geekdo-images.com/F_KDEu0GjdClml8N7c8Imw__imagepage/img/rc_Do8f5v41nWEGcwHE1eKAkIfI=/fit-in/900x600/filters:no_upscale():strip_icc()/pic2582929.jpg,2,15,,2,8
Code Names - Images,שם קוד - תמונות,https://www.hakubia.com/wp-content/uploads/2021/10/%D7%9E%D7%95%D7%A7%D7%90%D7%A4-%D7%A7%D7%95%D7%A4%D7%A1%D7%94-%D7%A7%D7%95%D7%93-%D7%AA%D7%9E%D7%95%D7%A0%D7%95%D7%AA.jpg,2,15,,2,8
For Sale,נדל״ן בקטן,https://www.hakubia.com/wp-content/uploads/2021/01/nadlan-2-mock-upd_right-1.png,1,,,,
Onitama,אוניטמה,https://cf.geekdo-images.com/GJKuOCy5HGAYgVH_Rei5mA__imagepage/img/wor2OPvOXGBwqkGZCxcMU38SwD0=/fit-in/900x600/filters:no_upscale():strip_icc()/pic7070194.jpg,1,20,,2,2
Dixit,דיקסיט,https://www.hakubia.com/wp-content/uploads/2021/01/Dixit22-L.png,1,30,,3,6
Dixit: Odyssey,"דיקסיט אודיסאה
",https://www.hakubia.com/wp-content/uploads/2021/01/511-2-1.webp,1,30,,3,12
Catan,קטאן,https://cf.geekdo-images.com/W3Bsga_uLP9kO91gZ7H8yw__imagepage/img/M_3Vg1j2HlNgkv7PL2xl2BJE2bw=/fit-in/900x600/filters:no_upscale():strip_icc()/pic2419375.jpg,2,,,,
Catan: Seafarers,קטאן: יורדי הים,https://cf.geekdo-images.com/UgyarZ7iBTSDY3sAtfzf8A__imagepagezoom/img/7IPzn6Tg1QMTmZBdQSmYVptPxws=/fit-in/1200x900/filters:no_upscale():strip_icc()/pic2420305.jpg,1,,,,
Catan: Cities & Knights,קטאן: ערים ואבירים,https://cf.geekdo-images.com/XVjc87_UzjIhagFeO4r8ew__imagepagezoom/img/J1cXpAjjBkkZFrZQr0JkLatep1I=/fit-in/1200x900/filters:no_upscale():strip_icc()/pic2420315.jpg,1,,,,
Alias,אליאס,https://www.hakubia.com/wp-content/uploads/2021/01/Alias-NEW-F.png,1,,,,
Anomia: Red,אנומיה אדום,https://www.hakubia.com/wp-content/uploads/2021/01/473-2-1.webp,1,,,,
Anomia: Blue,אנומיה כחול,https://www.hakubia.com/wp-content/uploads/2021/01/477-2-1.webp,1,,,,
Splendor,ספלנדור,https://cf.geekdo-images.com/rwOMxx4q5yuElIvo-1-OFw__imagepage/img/qXhBOrqJMEeA0pe6TMzWNZUTlbk=/fit-in/900x600/filters:no_upscale():strip_icc()/pic1904079.jpg,1,,,,
Stone age,עידן האבן,https://www.hakubia.com/wp-content/uploads/2021/07/Stone-Age-L.png,1,,,,
Ticket to Ride: Europe,טיקט טו רייד: אירופה,https://cf.geekdo-images.com/0K1AOciqlMVUWFPLTJSiww__imagepage/img/pC5hC440R46jn4EpfdYV5rL4VOc=/fit-in/900x600/filters:no_upscale():strip_icc()/pic66668.jpg,1,,,,
Ticket to Ride: USA,טיקט טו רייד: ארצות הברית,https://cf.geekdo-images.com/ZWJg0dCdrWHxVnc0eFXK8w__imagepage/img/FcSGmLeIStNfb0l_qKSuOyz-rHY=/fit-in/900x600/filters:no_upscale():strip_icc()/pic38668.jpg,1,,,,
Exploding Kittens,חתולים מתפוצצים,https://cf.geekdo-images.com/N8bL53-pRU7zaXDTrEaYrw__imagepage/img/qdivOjtkEd8Jma35bdI3mOwaoZg=/fit-in/900x600/filters:no_upscale():strip_icc()/pic2691976.png,1,,,,
Katamono,קטמינו,https://cf.geekdo-images.com/TXRySQoktRRuwCl8pxeTsA__imagepage/img/n4YhV3ByqNiuUloE-oynpYfV05g=/fit-in/900x600/filters:no_upscale():strip_icc()/pic3488257.jpg,1,,,,
Stanga,סטנגה,https://www.steimatzky.co.il/pub/media/catalog/product/cache/054fd023ed4beb824f3143faa6fcc008/1/0/106910161-1635840361452195.jpg,1,,,,
Sprint,ספרינט,https://www.steimatzky.co.il/pub/media/catalog/product/cache/054fd023ed4beb824f3143faa6fcc008/1/0/106910202-1635840423376299.jpg,1,,,,
Spell a spell,מכשף מכושף,https://www.steimatzky.co.il/pub/media/catalog/product/cache/054fd023ed4beb824f3143faa6fcc008/1/0/106910208-1635840432512776.jpg,1,,,,
Takamachi,טקמצ׳י,https://foxmind.co.il/wp-content/uploads/2021/12/TAKAMACHI.jpg,1,,,,
Qwirkle,קווירקל,https://foxmind.co.il/wp-content/uploads/2021/12/QWIRKLE1-1.jpg,1,,,,
Spot it!,דאבל!,https://cf.geekdo-images.com/b_6y9HdMqZMmFuOJ8o02yw__imagepage/img/-CLLdd4BKVZSMx2-nrgLWxSOTn4=/fit-in/900x600/filters:no_upscale():strip_icc()/pic1203476.jpg,2,,,,
By the book,מה קורא?,https://foxmind.co.il/wp-content/uploads/2021/12/BY-THE-BOOK-1.jpg,1,,,,
Get packing,תתחילו לארוז,https://foxmind.co.il/wp-content/uploads/2021/12/get-packing-1.jpg,1,,,,
Dr eureka,דר׳ יוריקה,https://foxmind.co.il/wp-content/uploads/2021/12/dr-yurika.jpg,1,,,,
Rat a tat cat,חתחתול,https://foxmind.co.il/wp-content/uploads/2021/08/RATATAT-1.jpg,1,,,,
Sleeping queens,חלומות,https://foxmind.co.il/wp-content/uploads/2021/08/sleeping-queen-1.jpg,1,,,,
Jungle speed,גונגל ספיד,https://foxmind.co.il/wp-content/uploads/2021/11/jungle-speed-2.jpg,1,,,,
Abalone,אבלון,https://foxmind.co.il/wp-content/uploads/2021/10/abalone-1.jpg,1,,,,
Bin spin,זרוק תזבל,https://foxmind.co.il/wp-content/uploads/2021/12/BINSPIN-1.jpg,1,,,,
Geistes blitz,בלאגן,https://foxmind.co.il/wp-content/uploads/2021/11/BALAGAN-1.jpg,1,,,,
Hands up,גנובים,https://foxmind.co.il/wp-content/uploads/2021/11/HANDS-UP-2.jpg,1,,,,
IQ puzzler pro,אי קייו פאזלר פרו,https://foxmind.co.il/wp-content/uploads/2021/12/IQ-puzzler-pro-1.jpg,1,,,,
Quarto,קווארטו,https://foxmind.co.il/wp-content/uploads/2022/01/quarto-classic-1.jpg,1,,,,
Quoridor,המבוך,https://foxmind.co.il/wp-content/uploads/2021/12/quoridor-white-1.jpg,1,,,,
Squirrls go nuts,סנאים ואגוזים,https://foxmind.co.il/wp-content/uploads/2022/01/SQUIRRLS-GO-NUTS.jpg,1,,,,
Wodny szlak,הנהר הזורם,https://foxmind.co.il/wp-content/uploads/2021/12/WODNY.jpg,1,,,,
Treasure of the dragons,תפוס תדרקון,https://foxmind.co.il/wp-content/uploads/2021/12/TREASURE-OF-THE-DRAGON-1.jpg,1,,,,
Brainbox the world,העולם המופלא,https://foxmind.co.il/wp-content/uploads/2022/01/MA-BATMUNA-OLAM-MUFLA.jpg,1,,,,
Brainbox inventions,חידושים והמצאות,https://foxmind.co.il/wp-content/uploads/2022/01/ma-batmuna-INVENTIONS.jpg,1,,,,
Banana grams,בננהגראמס,https://foxmind.co.il/wp-content/uploads/2021/12/BANANAGRAMS-1.jpg,1,,,,
The genios square,אתגר בריבוע,https://foxmind.co.il/wp-content/uploads/2021/12/the-genios-square-1.jpg,1,,,,
Kingdomino,קינגדומינו,https://foxmind.co.il/wp-content/uploads/2021/10/KINGDomino.jpg,1,,,,
Gobblet,הגביעים,https://foxmind.co.il/wp-content/uploads/2021/11/gobblets-1.jpg,1,,,,
Squadro,סקוואדרו,https://foxmind.co.il/wp-content/uploads/2022/01/SQUADRO.jpg,1,,,,
Photosinthesis,פוטוסינתזה,https://foxmind.co.il/wp-content/uploads/2021/10/photosinthesis.jpg,2,,,,
Planet,פלאנט,https://foxmind.co.il/wp-content/uploads/2021/10/planet-1.jpg,1,,,,
Mancala,מנקלה,https://foxmind.co.il/wp-content/uploads/2022/01/mancala-NEW.jpg,1,,,,
Jumbling tower,מפולת לבנים,https://foxmind.co.il/wp-content/uploads/2022/01/jumbling-tower-natural-2021.jpg,1,,,,
Jumbling tower color,מפולת לבנים צבעוני,https://foxmind.co.il/wp-content/uploads/2022/01/jumbling-tower-clr2021.jpg,1,,,,
Domino 9,דומינו 9,https://foxmind.co.il/wp-content/uploads/2022/01/domino-9-dot-new.jpg,1,,,,
